temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5,titulo,autor,especiales,pais,region,ciudad,sexo,edad,categoria
1,4,A quién le importa de Alaska (Alaska y Dinarama),Toñi Salazar,5,7,7,5,0,Carolina,0.0,30,6,A quién le importa,Alaska (Alaska y Dinarama),,España,Extremadura,Badajoz,F,48,Cantante
1,5,Se acabó de María Jiménez,Toñi Salazar,10,10,12,12,0,Sylvia,0.0,57,8,Se acabó,María Jiménez,,España,Extremadura,Badajoz,F,48,Cantante
1,6,Yo viviré de Celia Cruz,Toñi Salazar,5,4,5,4,0,Sylvia,0.0,28,5,Yo viviré,Celia Cruz,,España,Extremadura,Badajoz,F,48,Cantante
1,7,Marinero de luces de Isabel Pantoja,Toñi Salazar,4,7,6,5,0,Julio,0.0,32,5,Marinero de luces,Isabel Pantoja,,España,Extremadura,Badajoz,F,48,Cantante
1,8,Loca de Luz Casal,Toñi Salazar,9,8,7,7,0,Julio,0.0,47,6,Loca,Luz Casal,,España,Extremadura,Badajoz,F,48,Cantante
1,9,Lo siento mi amor de Falete,Toñi Salazar,8,7,8,4,0,Santiago,0.0,27,0,Lo siento mi amor,Falete,,España,Extremadura,Badajoz,F,48,Cantante
1,1,"Amante bandido, de Miguel Bosé",Josema Yuste,8,9,8,8,0,Julio,,38,0,Amante bandido,Miguel Bosé,,España,Madrid,Madrid,M,57,Humorista
1,2,"El chiringuito, El africano y La barbacoa, de Georgie Dann",Josema Yuste,6,7,8,8,0,Angy,0.0,34,5,"El chiringuito, El africano y La barbacoa",Georgie Dann,,España,Madrid,Madrid,M,57,Humorista
1,3,Imagine de John Lennon,Josema Yuste,4,4,8,4,0,Francisco,0.0,24,4,Imagine,John Lennon,,España,Madrid,Madrid,M,57,Humorista
1,4,No hago otra cosa que pensar en ti de Joan Manuel Serrat,Josema Yuste,7,6,6,12,0,Santiago,0.0,40,4,No hago otra cosa que pensar en ti,Joan Manuel Serrat,,España,Madrid,Madrid,M,57,Humorista
1,5,Dile de Luis Aguilé,Josema Yuste,9,8,9,8,0,Carolina,0.0,44,5,Dile,Luis Aguilé,,España,Madrid,Madrid,M,57,Humorista
1,6,Un año más de Ana Torroja (Mecano),Josema Yuste,10,12,12,9,0,Sylvia,0.0,65,12,Un año más,Ana Torroja (Mecano),,España,Madrid,Madrid,M,57,Humorista
1,7,Bienvenidos de Miguel Ríos,Josema Yuste,7,8,8,7,0,Sylvia,0.0,37,7,Bienvenidos,Miguel Ríos,,España,Madrid,Madrid,M,57,Humorista
1,8,"Pavo real de José Luis Rodríguez ""El Puma""",Josema Yuste,8,6,8,8,0,Toñi,0.0,37,7,Pavo real,"José Luis Rodríguez ""El Puma""",,España,Madrid,Madrid,M,57,Humorista
1,9,Su canción de Betty Missiego,Josema Yuste,10,9,9,9,0,Carolina,0.0,42,0,Su canción,Betty Missiego,,España,Madrid,Madrid,M,57,Humorista
1,1,"Vivir así es morir de amor, de Camilo Sesto",Francisco,7,8,9,7,0,Angy,,31,0,Vivir así es morir de amor,Camilo Sesto,,España,Valencia,Alcoy,M,52,Cantante
1,2,"Nessun dorma, de Luciano Pavarotti",Francisco,8,6,9,6,0,Julio,0.0,36,7,Nessun dorma,Luciano Pavarotti,,España,Valencia,Alcoy,M,52,Cantante
1,3,Como una ola  de Rocío Jurado,Francisco,6,6,7,9,0,Toñi,0.0,63,10,Como una ola,Rocío Jurado,,España,Valencia,Alcoy,M,52,Cantante
1,4,Are You Lonesome Tonight? de Elvis Presley,Francisco,6,5,5,7,0,Santiago,0.0,32,9,Are You Lonesome Tonight?,Elvis Presley,,España,Valencia,Alcoy,M,52,Cantante
1,5,Dos gardenias de Antonio Machín,Francisco,6,12,8,9,0,Josema,0.0,42,7,Dos gardenias,Antonio Machín,,España,Valencia,Alcoy,M,52,Cantante
1,6,It's not Unusual de Tom Jones,Francisco,4,5,4,5,0,Josema,0.0,27,4,It's not Unusual,Tom Jones,,España,Valencia,Alcoy,M,52,Cantante
1,7,Maldito duende de Enrique Bunbury (Héroes del Silencio),Francisco,12,10,12,9,0,Santiago,0.0,49,6,Maldito duende,Enrique Bunbury (Héroes del Silencio),,España,Valencia,Alcoy,M,52,Cantante
1,8,Vivo cantando de Salomé,Francisco,4,4,4,4,0,Julio,0.0,21,5,Vivo cantando,Salomé,,España,Valencia,Alcoy,M,52,Cantante
1,9,Cobarde de David Bustamante,Francisco,5,4,4,5,0,Carolina,0.0,18,0,Cobarde,David Bustamante,,España,Valencia,Alcoy,M,52,Cantante
