temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5
1,8,Rehab de Amy Winehouse,"Julio Iglesias, Jr.",10,12.0,10,5,0,Toñi,0.0,62,10
1,8,Karma Chameleon de Boy George (Culture Club),Santiago Segura,12,9.0,9,10,0,Julio,0.0,57,12
1,8,El partido de fútbol de Rita Pavone,Carolina Ferre,7,10.0,12,6,0,Sylvia,0.0,48,8
1,8,Loca de Luz Casal,Toñi Salazar,9,8.0,7,7,0,Julio,0.0,47,6
1,8,Soy yo de Marta Sánchez,Sylvia Pantoja,5,5.0,5,9,0,Carolina,0.0,38,9
1,8,"Pavo real de José Luis Rodríguez ""El Puma""",Josema Yuste,8,6.0,8,8,0,Toñi,0.0,37,7
1,8,Left Outside Alone de Anastacia,Angy,6,7.0,6,12,0,Santiago,0.0,35,4
1,8,Vivo cantando de Salomé,Francisco,4,4.0,4,4,0,Julio,0.0,21,5
1,9,Si bastasen un par de canciones y Fantástico amor de Eros Ramazzotti,Santiago Segura,12,10.0,10,8,0,Angy,0.0,55,0
1,9,Don't Stop Me Now de Freddie Mercury (Queen),Angy,9,12.0,12,10,0,Sylvia,0.0,48,0
1,9,Su canción de Betty Missiego,Josema Yuste,10,9.0,9,9,0,Carolina,0.0,42,0
1,9,Torero de Chayanne,Carolina Ferre,4,6.0,7,12,0,Santiago,0.0,39,0
1,9,Last Dance de Donna Summer,Sylvia Pantoja,7,5.0,5,7,0,Josema,0.0,29,0
1,9,Lo siento mi amor de Falete,Toñi Salazar,8,7.0,8,4,0,Santiago,0.0,27,0
1,9,Gloria de Umberto Tozzi,"Julio Iglesias, Jr.",6,8.0,6,6,0,Santiago,0.0,26,0
1,9,Cobarde de David Bustamante,Francisco,5,4.0,4,5,0,Carolina,0.0,18,0
2,1,"These Boots Are Made for Walkin', de Nancy Sinatra",Roko,12,12.0,12,9,0,Daniel,0.0,57,12
2,1,"Aire, de Pedro Marín",Arturo Valls,8,10.0,10,12,0,Daniel,0.0,50,10
2,1,Viaje con nosotros y Caperucita feroz de Javier Gurruchaga (Orquesta Mondragón),Santiago Segura,9,9.0,8,4,0,María,0.0,48,8
2,1,"Can't Get You Out of My Head , de Kylie Minogue",Anna Simon,10,8.0,7,10,0,Santiago,0.0,44,9
2,1,"I will always love you, de Whitney Houston",Daniel Diges,5,5.0,9,8,0,Santiago,0.0,41,4
