,temporada,programa,cancion,artista,j1,j2,j3,j4,publico,a,b,c
2,2,8,"Dame veneno y Me sabe a humo, de José Salazar de Los Chunguitos",Santi Rodríguez,,,,,,,,
3,2,8,"Toxic, de Britney Spears",Xuso Jones,42,10,7,9,11,Llum,,
4,2,8,"Poker face, de Lady Gaga",Edurne,40,9,11,10,10,Xuso,,
5,2,8,"Quédate conmigo, de Pastora Soler",Melody,39,8,10,5,6,Santi y Florentino,,
6,2,8,"Tico tico no fubá y Mamãe eu quero, de Carmen Miranda",Ángela Carrasco,38,7,9,8,9,Melody,,
7,2,8,"Tatuaje, de Concha Marquez Piquer",José Manuel Soto,29,6,8,7,8,Melody,,
8,2,8,"Te estoy amando locamente, de Las Grecas",Los Chunguitos,28,5,5,6,7,Santi y Florentino,,
0,2,9,"Ma quale idea, de Pino D'Angiò",Santi Rodríguez,70,7,9,12,7,Ángela,,
1,2,9,"Impossible, de James Arthur",Xuso Jones,46,11,12,11,12,Santi,,
2,2,9,"The Shoop Shoop Song (It's in His Kiss), de Cher",Melody,43,12,11,9,11,Los Chunguitos,,
3,2,9,"Grace Kelly, de Mika",Edurne,38,10,10,8,10,Santi,,
4,2,9,Cómo pudiste hacerme esto a mí de Alaska (Alaska y Dinarama/Fangoria),Llum Barrera,35,9,8,10,8,Santi,,
5,2,9,"Credo, de Elsa Baeza",Ángela Carrasco,32,6,6,6,9,Santi,,
6,2,9,"El probe Miguel, de Esperanza la del Maera (Triana Pura)",Florentino Fernández,27,8,7,7,5,Santi,,
7,2,9,"La media vuelta, de Luis Miguel",José Manuel Soto,21,5,5,5,6,Santi,,
8,2,9,"Me pongo colorada, de Papá Levante",Los Chunguitos,21,4,4,4,4,Santi,,
0,2,10,"Salomé, de Chayanne",Xuso Jones,49,8,8,10,11,Ángela,,
1,2,10,"Morena mía, de Miguel Bosé",Santi Rodríguez,45,12,12,11,8,Edurne,,
2,2,10,"El príncipe de Bel-Air y Gettin' Jiggy With It, de Will Smith",Florentino Fernández,42,7,11,9,10,Xuso,,
3,2,10,"Don't speak, de Gwen Stefani (No Doubt)",Melody,42,9,10,12,9,Xuso,,
4,2,10,"Knock on wood, de Amii Stewart",Edurne,38,10,9,8,7,Los Chunguitos,,
5,2,10,"Necesito respirar, de Manuel Martínez (Medina Azahara)",José Manuel Soto,33,11,5,6,6,Los Chunguitos,,
6,2,10,"Boys don't cry, de Robert Smith (The Cure)",Llum Barrera,31,5,7,7,12,Xuso,,
7,2,10,"La vida es bella, de Noa",Ángela Carrasco,27,6,6,5,5,Santi,,
8,2,10,"Loco Mia, de Locomia",Los Chunguitos,26,4,4,4,4,José Manuel,,
0,2,11,"Bring me to life, de Amy Lee (Evanescence)",Edurne,62,12,12,11,12,Llum,,
1,2,11,"Amigo conductor, de Perlita de Huelva",Llum Barrera,48,11,6,10,11,Edurne,,
2,2,11,"Quiéreme, de El Barrio",José Manuel Soto,46,10,9,12,10,Llum,,
3,2,11,"La gota fría, de Carlos Vives",Ángela Carrasco,45,8,10,8,9,Edurne,,
4,2,11,"As Long as You Love Me, de Justin Bieber",Xuso Jones,39,6,11,9,8,Edurne,,
5,2,11,"Carolina, de Carlos Tarque (M Clan)",Santi Rodríguez,30,9,8,6,7,José Manuel,,
6,2,11,"Clavado en un bar, de Fernando Olvera (Maná)",Melody,27,7,7,7,6,Angela,,
7,2,11,"The Fox, de Bård Ylvisåker (Ylvis)",Florentino Fernández,20,5,5,5,5,Xuso,,
8,2,11,"La puerta de Alcalá, de Ana Belén y Víctor Manuel",Los Chunguitos,16,4,4,4,4,Angela,,
0,2,12,"What's Up?, de Linda Perry (4 Non Blondes)",Edurne,53,12,12,12,12,Melody,,
1,2,12,"Yo no te pido la luna, de Fiordaliso",Melody,53,11,11,8,8,José Manuel,,
2,2,12,"Irressistible/Ouragan, de Estefanía de Mónaco",Llum Barrera,38,7,7,9,10,Santi,,
3,2,12,"Nada cambiará mi amor por ti, de Glenn Medeiros",Xuso Jones,38,9,10,10,9,Melody,,
4,2,12,"Dolce vita, de Ryan Paris",José Manuel Soto,36,5,8,7,6,Melody,,
5,2,12,"Born to be alive, de Patrick Hernández",Florentino Fernández,32,8,6,11,7,Edurne,,
6,2,12,"Hasiendo el amor, de Dinio",Santi Rodríguez,30,10,5,6,4,Llum,,
7,2,12,"No rompas más (Mi pobre corazón), de Coyote Dax",Ángela Carrasco,30,6,9,4,11,Los Chunguitos,,
8,2,12,"Vamos a la playa, de Righeira",Los Chunguitos,23,4,4,5,5,José Manuel,,
0,2,13,"The boy does nothing, de Alesha Dixon",Melody,57,11,10,10,11,Llum,,
1,2,13,"Crazy in love, de Beyoncé",Edurne,53,12,12,12,12,Santi,,
2,2,13,"Hey ya!, de André 3000 (Outkast)",Xuso Jones,46,10,11,11,9,Florentino,,
3,2,13,"Rufino, de Luz Casal",Llum Barrera,38,8,6,9,10,Melody,,
4,2,13,"Historia de un amor, de Eydie Gormé y Los Panchos",Ángela Carrasco,35,7,9,8,6,Melody,,
5,2,13,"Don't leave me this way, de Jimmy Sommerville",Florentino Fernández,35,9,8,5,8,Ángela,,
6,2,13,"La Lola, de Manuel Quijano (Café Quijano)",Santi Rodríguez,28,4,7,7,5,Xuso,,
7,2,13,"Romeo y Julieta, de Karina",José Manuel Soto,22,5,4,6,7,Melody,,
8,2,13,"Amigos para siempre, de Los Manolos",Los Chunguitos,19,6,5,4,4,Edurne,,
0,2,14,"Cuban Pete, de Jim Carrey (La Máscara)",Florentino Fernández,58,9,9,8,7,Llum,,
1,2,14,"Like a prayer, de Madonna",Llum Barrera,48,11,10,11,11,Florentino,,
2,2,14,"Hijo de la luna, de Ana Torroja (Mecano)",Melody,40,12,11,6,6,Edurne,,
3,2,14,"Y ahora, de Manuel Carrasco",José Manuel Soto,37,7,6,9,10,Florentino,,
4,2,14,"Bleeding Love, de Leona Lewis",Edurne,36,10,12,4,5,Florentino,,
5,2,14,"Ayer, de Gloria Estefan",Ángela Carrasco,33,5,8,12,8,Florentino,,
6,2,14,"Cuanto más acelero, de Javi Cantero",Santi Rodríguez,30,6,5,10,9,Florentino,,
7,2,14,"Torero, de Julio Iglesias y José Luis Rodríguez ""El Puma""",Los Chunguitos,27,4,4,7,12,Melody,,
8,2,14,"No puedo vivir sin ti, de Coque Malla (Los Ronaldos)",Xuso Jones,24,8,7,5,4,José Manuel,,
0,2,15,"Do What U Want, de Lady Gaga y Christina Aguilera",Melody y Angy,63,12,12,12,12,Florentino,,
1,2,15,"Vivo por ella, de Marta Sánchez y Andrea Bocelli",Edurne y Daniel Diges,46,10,11,11,9,Ángela,,
2,2,15,"You're my heart, you're my soul y Brother Louie, de Thomas Anders y Dieter Bohlen (Modern Talking)",Xuso Jones y Edu Soto,44,11,9,8,11,Llum,,
3,2,15,"All the things she said, de Julia Volkova y Lena Katina (t.A.T.u)",Llum Barrera y Carolina Ferre,41,9,10,9,8,Los Chunguitos,,
4,2,15,"La yenka y Super disco chino, de Enrique del Pozo y Ana Anguita (Enrique y Ana)",Florentino Fernández y Anna Simon,34,8,4,10,7,Melody,,
5,2,15,"Corazón contento, de Marisol y Palito Ortega",Ángela Carrasco y Roberto Leal,33,6,7,5,10,Edurne,,
6,2,15,"Eso es el amor, de María Durán, Mayra Gómez Kemp y Beatriz Escudero (Trío Acuario)",Los Chunguitos y Toñi Salazar,26,7,5,4,5,Melody,,
7,2,15,"Dos hombres y un destino, de David Bustamante y Alex Casademunt",José Manuel Soto y Francisco,25,5,8,6,6,Xuso,,
8,2,15,"La lista de la compra, de Lichis (La Cabra Mecánica) y María Jiménez",Santi Rodríguez y Loles León,21,4,6,7,4,Melody,,
0,2,16,Edurne,792,,,,,,,,
1,2,16,Melody,780,,,,,,,,
2,2,16,Xuso Jones,697,,,,,,,,
3,2,16,Llum Barrera,667,,,,,,,,
4,2,16,Florentino Fernández,637,,,,,,,,
5,2,16,Santi Rodríguez,599,,,,,,,,
6,2,16,Angela Carrasco,570,,,,,,,,
7,2,16,José Manuel Soto,560,,,,,,,,
8,2,16,Los Chunguitos,453,,,,,,,,
0,2,17,Melody,836,,,,,,,,
1,2,17,Xuso Jones,742,,,,,,,,
2,2,17,Llum Barrera,702,,,,,,,,
3,2,17,Florentino Fernández,687,,,,,,,,
4,2,17,Santi Rodríguez,631,,,,,,,,
5,2,17,Angela Carrasco,591,,,,,,,,
6,2,17,José Manuel Soto,590,,,,,,,,
7,2,17,Los Chunguitos,501,,,,,,,,
0,3,0,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,0,"The Edge of Glory, de Lady Gaga",Ruth Lorenzo,11,11,12,10,Pablo,44 (12),12,24
2,3,0,"Sugar, de Adam Levine (Maroon 5)",Pablo Puyol,12,10,10,9,Edu,44 (11),10,21
3,3,0,"Al son del tambor, de Rosario Flores",Edu Soto,10,5,6,11,Falete,35 (8),11,19
4,3,0,"¡Qué dolor!, de Raffaella Carrà",Silvia Abril,9,6,11,12,El Sevilla,41 (10),8,18
5,3,0,"Where Are Ü Now, de Justin Bieber",Adrián Rodríguez,7,12,8,7,El Sevilla,34 (7),9,16
6,3,0,"Te amo, de Umberto Tozzi",Falete,8,9,9,8,Ana,37 (9),7,16
7,3,0,"Sólo le pido a Dios, de Ana Belén",Vicky Larraz,6,8,7,6,Silvia,27 (5),6,11
8,3,0,"Walking on Sunshine, de Katrina Leskanich (Katrina & The Waves)",Ana Morgade,5,7,5,5,El Sevilla,28 (6),5,11
9,3,0,"Venezia, de David Summers (Hombres G)",El Sevilla,4,4,4,4,Ana,25 (4),4,8
0,3,1,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,1,"Algo de mí, de Camilo Sesto",Edu Soto,10,12,8,11,Pablo,44 (12),12,24
2,3,1,"Barcelona, de Freddie Mercury y Montserrat Caballé (Dos en uno)[18]​",Ruth Lorenzo,9,9,11,9,Pablo,44 (11),11,22
3,3,1,"I'm Outta Love, de Anastacia",Pablo Puyol,8,10,6,10,Ruth,40 (9),10,19
4,3,1,"Amor eterno, de Juan Gabriel",Falete,12,11,12,8,El Sevilla,43 (10),9,19
5,3,1,"Ángel malherido, de El Barrio",Adrián Rodríguez,11,8,7,12,Edu,38 (8),8,16
6,3,1,"Dark Horse, de Katy Perry",Vicky Larraz,7,7,10,6,Ana,30 (6),6,12
7,3,1,"Pégate, de Ylenia",Silvia Abril,4,4,4,5,El Sevilla,20 (4),7,11
8,3,1,"La isla bonita, de Madonna",Ana Morgade,6,6,9,7,Ruth,31 (7),4,11
9,3,1,"Quiero ser como tú, de El Rey Mono (El Libro de la Selva)",El Sevilla,5,5,5,4,Silvia,25 (5),5,10
0,3,2,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,2,"Con dos camas vacías, de María Jiménez (Reto)[19]​",Falete,12,12,12,12,Ruth,51 (12),12,24
2,3,2,"El perdón, de Nicky Jam",Adrián Rodríguez,11,11,10,10,Pablo,42 (11),11,22
3,3,2,"Entre dos tierras, de Enrique Bunbury (Héroes del Silencio)",Pablo Puyol,10,10,7,9,Silvia,39 (10),10,20
4,3,2,"Porque te vas, de Jeanette",El Sevilla,5,7,11,11,Ana,34 (8),9,17
5,3,2,"Losing My Religion, de Michael Stipe (R.E.M.)",Edu Soto,7,6,6,7,Ana,29 (5),8,13
6,3,2,"All Around the World, de Lisa Stansfield",Vicky Larraz,9,9,5,8,Ruth,34 (7),6,13
7,3,2,"Shake It Off, de Taylor Swift",Ana Morgade,6,8,9,6,Vicky,35 (9),4,13
8,3,2,"No One, de Sor Cristina",Silvia Abril,4,5,4,4,Edu,20 (4),7,11
9,3,2,"Se me olvidó otra vez, de María Jiménez",Ruth Lorenzo,8,4,8,5,Falete,31 (6),5,11
0,3,3,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,3,"Part-Time Lover, de Stevie Wonder",Pablo Puyol,11,12,10,11,Vicky,44 (11),12,23
2,3,3,"Nothing Compares 2 U, de Sinéad O'Connor",Ruth Lorenzo,12,10,11,10,Vicky,43 (10),11,21
3,3,3,"Mi nuevo vicio, de Paulina Rubio",Adrián Rodríguez,4,8,12,7,Vicky,34 (9),10,19
4,3,3,"Thinking Out Loud, de Ed Sheeran",Vicky Larraz,10,11,7,12,Adrián,55 (12),5,17
5,3,3,"Y nos dieron las diez, de Joaquín Sabina",El Sevilla,7,5,8,6,Vicky,29 (6),9,15
6,3,3,"Disparé, de Mai Meneses (Nena Daconte)",Ana Morgade,9,9,4,9,Silvia,31 (8),7,15
7,3,3,"Don Diablo, de Miguel Bosé",Silvia Abril,6,7,5,8,Edu,29 (5),8,13
8,3,3,"Mammy blue, de José Mercé",Edu Soto,8,6,9,5,El Sevilla,31 (7),6,13
9,3,3,"Historias de amor, de Jordi Sánchez (OBK)",Falete,5,4,6,4,Vicky,19 (4),4,8
0,3,4,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,4,"Proud Mary, de Tina Turner",Ruth Lorenzo,12,12,12,12,Adrián,51 (12),12,24
2,3,4,"Qué será, será (Whatever Will Be, Will Be), de Doris Day (El hombre que sabía demasiado)",Silvia Abril,11,4,9,10,Adrián,37 (9),11,20
3,3,4,"Heart of glass, de Deborah Harry (Blondie)",Ana Morgade,10,9,11,8,Edu,41 (11),9,20
4,3,4,"América, de Nino Bravo",Adrián Rodríguez,5,5,4,9,Ruth,35 (8),10,18
5,3,4,"Demasiado corazón, de Willy DeVille",Edu Soto,8,8,8,11,Adrián,38 (10),8,18
6,3,4,"La mordidita, de Ricky Martin",Pablo Puyol,9,10,10,5,Adrián,34 (7),5,12
7,3,4,"Remolino, de Pancho Céspedes",Falete,4,6,7,6,Ana,23 (4),7,11
8,3,4,"Baila morena, de Zucchero",El Sevilla,7,7,6,4,Silvia,27 (5),6,11
9,3,4,"Tómame o déjame, de Amaya Uranga (Mocedades)",Vicky Larraz,6,11,5,7,El Sevilla,29 (6),4,10
0,3,5,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,5,"Angelitos negros, de Antonio Machín",Edu Soto,12,12,10,9,Sevilla,49 (12),12,24
2,3,5,"Loca, de Malena Gracia (Sorpresa, Sorpresa)",Ana Morgade,9,10,12,12,Falete,46 (11),10,21
3,3,5,"Highway to Hell, de Brian Johnson (AC/DC)",El Sevilla,5,9,8,11,Ana,36 (9),11,20
4,3,5,"Es mi hombre, de Sara Montiel",Falete,11,11,11,10,Ruth,46 (10),9,19
5,3,5,"Cheerleader, de OMI",Adrián Rodríguez,10,8,7,7,Edu,32 (8),7,15
6,3,5,"Toda la noche en la calle, de Eva Amaral (Amaral)",Ruth Lorenzo,7,7,6,6,Silvia,29 (6),8,14
7,3,5,"Don't Go Breakin' My Heart, de Elton John y RuPaul (Dos en uno)[18]​",Pablo Puyol,8,5,9,8,Silvia,30 (7),5,12
8,3,5,"Womanizer, de Britney Spears",Silvia Abril,4,4,4,4,Vicky,22 (4),6,10
9,3,5,"Voyage voyage, de Desireless",Vicky Larraz,6,6,5,5,Edu,25 (5),4,9
0,3,6,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,6,"Abuelito dime tú, de Heidi",Silvia Abril,9,12,7,10,Vicky,53 (12),12,24
2,3,6,"Personal Jesus, de Marilyn Manson",Ruth Lorenzo,10,9,11,11,Silvia,41 (10),11,21
3,3,6,"Propuesta indecente, de Romeo Santos",Adrián Rodríguez,12,10,12,8,Vicky,45 (11),10,21
4,3,6,"El jardín prohibido, de Sandro Giacobbe",Pablo Puyol,11,8,9,12,Silvia,40 (9),9,18
5,3,6,"Black Is Black, de Mike Kennedy (Los Bravos)",Edu Soto,8,11,10,7,Silvia,36 (8),8,16
6,3,6,"La gozadera, de Gente de Zona y Marc Anthony",El Sevilla y Xuso Jones (Trae un amigo)[20]​,7,6,5,9,Silvia,27 (6),6,12
7,3,6,"If I Could Turn Back Time, de Cher",Vicky Larraz,4,4,8,6,Adrián,31 (7),5,12
8,3,6,"Saturday Night , de Whigfield",Ana Morgade,5,5,6,4,Silvia,20 (4),7,11
9,3,6,"Lobo hombre en París, de Rafa Sánchez (La Unión)",Falete,6,7,4,5,Vicky,22 (5),4,9
0,3,7,CL,MM,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,7,"Uptown Funk, de Mark Ronson y Bruno Mars",Pablo Puyol,8,12,10,12,Ruth,48 (12),12,24
2,3,7,"All by Myself, de Céline Dion",Ruth Lorenzo,11,11,12,10,Pablo,47 (11),11,22
3,3,7,"Cero, de Dani Martín",Adrián Rodríguez,12,7,8,8,El Sevilla,41 (8),10,18
4,3,7,"Sway, de Michael Bublé",Edu Soto,9,10,11,11,Adrián,44 (10),8,18
5,3,7,"Hawaii-Bombay, de Ana Torroja (Mecano)",Silvia Abril,7,6,7,5,El Sevilla,25 (7),9,16
6,3,7,"Comando G, de Tino Fernández ""Ficha Roja"" (Parchís)",El Sevilla,10,9,9,9,Pablo,43 (9),5,14
7,3,7,"Salta, de Alejo Stivel (Tequila)",Ana Morgade,4,8,5,7,Falete,24 (6),7,13
8,3,7,"El mismo sol, de Jennifer Lopez y Álvaro Soler",Vicky Larraz y Álvaro Soler (Original y Copia)[21]​,6,5,4,6,Edu,21 (4),6,10
9,3,7,"I Am What I Am, de Gloria Gaynor",Falete,5,4,6,4,Adrián,22 (5),4,9
0,3,8,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,8,"Noche de bodas, de Chavela Vargas",El Sevilla,12,12,12,12,Adrián,69 (12),12,24
2,3,8,"Back to black, de Amy Winehouse",Ruth Lorenzo,9,10,10,10,El Sevilla,39 (10),11,21
3,3,8,"Smooth criminal , de Michael Jackson",Edu Soto,10,11,11,11,El Sevilla,46 (11),10,21
4,3,8,"Livin' on a Prayer, de Jon Bon Jovi (Bon Jovi)",Pablo Puyol,11,8,9,9,El Sevilla,37 (9),9,18
5,3,8,"Supernatural, de Marta Sánchez (Olé Olé)",Ana Morgade,7,7,5,8,El Sevilla,27 (7),8,15
6,3,8,"You Can't Hurry Love, de Diana Ross & The Supremes",Vicky Larraz,8,9,8,5,El Sevilla,30 (8),7,15
7,3,8,"Humanos a Marte, de Chayanne",Adrián Rodríguez,6,6,6,6,Edu,27 (6),6,12
8,3,8,"El baúl de los recuerdos, de Karina",Silvia Abril,4,4,4,4,El Sevilla,16 (4),5,9
9,3,8,"La vie en rose, de Édith Piaf",Falete,5,5,7,7,El Sevilla,24 (5),4,9
0,3,9,CL,MM,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,9,"Why don't you do right?, de Jessica Rabbit (¿Quién engañó a Roger Rabbit?)",Ruth Lorenzo,11,9,10,11,Pablo,41 (11),11,22
2,3,9,"Tonight (I'm Lovin' You), de Enrique Iglesias",Adrián Rodríguez,12,12,12,12,Silvia,54 (12),10,22
3,3,9,"Caruso, de Andrea Bocelli",Pablo Puyol,9,7,8,9,Silvia,36 (8),12,20
4,3,9,"Hard Rock Hallelujah, de Tomi Putaansuu (Mr Lordi) (Lordi)",El Sevilla,10,11,9,8,Adrián,38 (9),9,18
5,3,9,"La vida es un carnaval, de Celia Cruz",Silvia Abril,4,4,11,6,Adrián,40 (10),8,18
6,3,9,"Francisco Alegre, de Isabel Pantoja",Falete,8,10,7,10,Edu,35 (7),6,13
7,3,9,"Vente pa' Madrid, de Antonio Carmona (Ketama)",Edu Soto,7,6,4,5,Silvia,25 (5),7,12
8,3,9,"Ven, devórame otra vez, de Azúcar Moreno",Ana Morgade y Anna Simon (Trae un amigo),6,8,6,7,Silvia,27 (6),5,11
9,3,9,"Gold, de Tony Hadley (Spandau Ballet)",Vicky Larraz,5,5,5,4,Silvia,19 (4),4,8
0,3,10,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,10,"Yo soy aquel, de Raphael",Edu Soto,11,9,11,8,Falete,39 (10),12,22
2,3,10,"Solamente tú, de Pablo Alborán",Adrián Rodríguez,12,11,10,12,Ana,51 (11),11,22
3,3,10,"Anaconda, de Nicki Minaj",Ana Morgade,10,12,12,11,Adrián,63 (12),10,22
4,3,10,"La mañana, de Al Bano",Falete,8,8,9,9,Ana,37 (9),8,17
5,3,10,"Want to Want Me, de Jason Derulo",Pablo Puyol,7,7,7,7,Ana,28 (7),9,16
6,3,10,"Un ramito de violetas, de Cecilia",Vicky Larraz,9,10,6,10,Ana,35 (8),7,15
7,3,10,"Tutti frutti, de Little Richard",El Sevilla,4,5,4,5,Ana,18 (4),6,10
8,3,10,"El beso, de Paquita Rico",Silvia Abril,5,4,5,6,Ana,20 (5),5,10
9,3,10,"Conga, de Gloria Estefan (Miami Sound Machine)",Ruth Lorenzo,6,6,8,4,Adrián,24 (6),4,10
0,3,11,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,11,"Bang Bang (My Baby Shot Me Down), de Nancy Sinatra",Ana Morgade,10,10,6,10,Vicky,39 (10),10,20
2,3,11,"Light my fire, de Jim Morrison (The Doors)",Edu Soto,11,11,7,11,Pablo,43 (11),9,20
3,3,11,"Soy lo prohibido, de Olga Guillot",Falete,12,12,11,12,Vicky,50 (12),8,20
4,3,11,"Rise Like a Phoenix, de Conchita Wurst",Ruth Lorenzo,8,8,9,9,Ana,34 (7),12,19
5,3,11,"Basket Case, de Billie Joe Armstrong (Green Day)",Adrián Rodríguez,9,9,8,6,Sevilla,35 (8),11,19
6,3,11,"Pastillas para dormir, de David Muñoz (Estopa) (Training VIP)",El Sevilla,7,6,10,5,Falete,31 (6),7,13
7,3,11,"Lips Are Movin, de Meghan Trainor",Vicky Larraz,6,7,12,8,Adrián,39 (9),4,13
8,3,11,"Eres, de Massiel",Silvia Abril,5,5,5,7,Pablo,22 (5),6,11
9,3,11,"Insurrección, de Manolo García (El Último de la Fila)",Pablo Puyol,4,4,4,4,Edu,22 (4),5,9
0,3,12,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,12,"Suspicious Minds, de Elvis Presley",Adrián Rodríguez,11,12,8,10,Vicky,50 (11),11,22
2,3,12,"La fiesta terminó, de Paloma San Basilio (Training VIP)",Vicky Larraz,12,10,10,12,Adrián,62 (12),9,21
3,3,12,"All of Me, de John Legend",Pablo Puyol,8,8,11,7,Vicky,34 (8),12,20
4,3,12,"Shake It Out, de Florence Welch (Florence & The Machine)",Ruth Lorenzo,10,11,9,11,Vicky,41 (10),10,20
5,3,12,"Tomasa, de Lolita Flores",Falete,7,9,12,6,Vicky,34 (9),8,17
6,3,12,"Nel blu dipinto di blu (Volare), de Domenico Modugno",Edu Soto,9,7,7,8,Adrián,31 (7),7,14
7,3,12,"Voy en un coche, de Christina Rosenvinge (Christina y Los Subterráneos)",Ana Morgade,4,4,5,9,Adrián,22 (6),6,12
8,3,12,"Pa' mi guerrera, de Huecco",El Sevilla,6,5,4,5,Vicky,20 (4),5,9
9,3,12,"It's Raining Men, de Geri Halliwell",Silvia Abril,5,6,6,4,Vicky,21 (5),4,9
0,3,13,CL,LF,SD,ÀL,Bonus  (3 puntos),Total,,,,
1,3,13,"Heroes, de Måns Zelmerlöw",Pablo Puyol,11,12,11,11,Ana,51 (11),12,23
2,3,13,"The Lady Is a Tramp, de Lady Gaga y Tony Bennet",Silvia Abril y Andreu Buenafuente (Trae un amigo),12,11,12,12,Sevilla,53 (12),11,23
3,3,13,"Los piconeros, de Penélope Cruz (La niña de tus ojos)",Ana Morgade,8,7,10,6,Silvia,40 (10),10,20
4,3,13,"All I Want for Christmas Is You, de Mariah Carey",Ruth Lorenzo,10,10,4,5,Ana,32 (9),8,17
5,3,13,"Clocks, de Chris Martin (Coldplay)",Edu Soto,9,5,7,10,Silvia,31 (7),9,16
6,3,13,"Me muero, de Natalia Jiménez (La 5ª Estación)",Falete,4,9,9,9,Ana,31 (8),6,14
7,3,13,"Otro día más sin verte, de Jon Secada",Adrián Rodríguez,7,8,8,7,Pablo,30 (6),7,13
8,3,13,"La gallina Cocoguagua, de Ana Anguita (Enrique y Ana) (Sorpresa, Sorpresa)",El Sevilla,5,6,6,4,Pablo,24 (5),5,10
9,3,13,"Physical,de Olivia Newton-John",Vicky Larraz,6,4,5,8,Ruth,23 (4),4,8
0,3,14,CL,LF,SD,ÀL,Total,,,,,
1,3,14,"Glitter in the Air, de P!nk",Ruth Lorenzo,11,11,12,12,46 (11),11,22,
2,3,14,"Por debajo de la mesa, de Luis Miguel",Pablo Puyol,8,8,10,9,35 (9),10,19,
3,3,14,"Just a Girl, de Gwen Stefani (No Doubt)",Ana Morgade,10,9,8,10,37 (10),8,18,
4,3,14,"Torbellino de colores, de Lola Flores",Falete,12,12,11,11,46 (12),6,18,
5,3,14,"Start Me Up, de Mick Jagger (The Rolling Stones)",Edu Soto,9,5,5,4,23 (5),12,17,
6,3,14,"Mamá, quiero ser artista, de Concha Velasco",Silvia Abril,6,10,7,8,31 (8),9,17,
7,3,14,"Can't Feel My Face, de The Weeknd",Adrián Rodríguez,7,6,6,5,24 (6),7,13,
8,3,14,"Feo, fuerte y formal, de Loquillo (Loquillo y Trogloditas)",El Sevilla,5,7,9,6,27 (7),5,12,
9,3,14,"It Must Have Been Love, de Marie Fredriksson (Roxette)",Vicky Larraz,4,4,4,7,19 (4),4,8,
0,3,15,CL,LF,SD,ÀL,Total,,,,,
1,3,15,"Unchained Melody, de Bobby Hatfield (The Righteous Brothers)",Edu Soto,10,12,12,10,44 (12),12,24,
2,3,15,"Don't Cry, de Axl Rose (Guns N' Roses)",Pablo Puyol,12,11,11,8,42 (10),11,21,
3,3,15,"Downtown, de Petula Clark",Ana Morgade,8,8,8,9,33 (9),10,19,
4,3,15,"'O sole mio, de Luciano Pavarotti",Falete,11,10,10,11,42 (11),8,19,
5,3,15,"Dramas y comedias, de Alaska (Fangoria)",Silvia Abril,7,6,7,12,32 (7),9,16,
6,3,15,"La nueva y la ex, de Daddy Yankee",Adrián Rodríguez,9,9,9,6,33 (8),7,15,
7,3,15,"Corazón de neón, de Javier Gurruchaga (Orquesta Mondragón)",El Sevilla,6,7,6,7,26 (6),6,12,
8,3,15,"Hello, de Adele",Vicky Larraz,5,5,5,5,20 (5),5,10,
0,4,0,CL,LF,C,ÀL,Total,,,,,
1,4,0,"I'll Be There y Who's Lovin' You, de Michael Jackson (The Jackson 5)",Beatriz Luengo,10,11,12,12,45 (12),12,24,
2,4,0,"Next to Me, de Emeli Sandé",Rosa López,7,9,11,7,34 (8),11,19,
3,4,0,"Como yo te amo, de Raphael",Blas Cantó,8,7,10,10,35 (9),10,19,
4,4,0,"Tengo miedo, de Marifé de Triana",Lorena Gómez,11,10,9,11,41 (10),9,19,
5,4,0,"Unchain My Heart, de Joe Cocker",Juan Muñoz,12,12,8,9,41 (11),8,19,
6,4,0,"Limón y sal, de Julieta Venegas",Esther Arroyo,9,8,7,8,32 (7),7,14,
7,4,0,"Mediterráneo, de Carlos Segarra (Los Rebeldes)",Canco Rodríguez,6,6,6,6,24 (6),6,12,
8,4,0,"Picky, de Joey Montana",David Guapo,4,4,4,5,17 (4),5,9,
9,4,0,"El ritmo de la noche, de María Chica Sánchez (Mystic)",Yolanda Ramos,5,5,5,4,19 (5),4,9,
0,4,1,CL,LF,C,ÀL,Total,,,,,
1,4,1,"Sax, de Fleur East",Lorena Gómez,12,12,12,11,47 (12),12,24,
2,4,1,"Venecia sin ti, de Dyango (Training VIP)",Juan Muñoz,11,11,11,12,45 (11),11,22,
3,4,1,"Greased Lightning , de John Travolta (Grease)",Blas Cantó,10,10,10,10,40 (10),10,20,
4,4,1,"La vie en rose, de Grace Jones",Esther Arroyo,8,8,8,8,32 (8),9,17,
5,4,1,"I'm a Slave 4 U, de Britney Spears",Beatriz Luengo,9,9,9,9,36 (9),8,17,
